연도,학제,고등학교 유형,시도,교육지원청,행정구역,학교명,본분교,학교상태,설립구분,우편번호,주소,홈페이지,학급수,학생수,교원수
2015,고등학교,일반고,경기,경기,과천시,과천중앙고등학교,본교,기존(원)교,공립,427-100,경기도 과천시 교육원로 17 (갈현동.과천중앙고등학교),www.gcja.hs.kr,37,"1,038",85
2015,고등학교,일반고,경기,경기,과천시,과천여자고등학교,본교,기존(원)교,사립,427-805,경기도 과천시 희망길 36 (중앙동.과천여자고등학교),www.gcwoman.hs.kr,30,825,65
2015,고등학교,일반고,경기,경기,광명시,광문고등학교,본교,기존(원)교,공립,423-819,경기도 광명시 원광명안로 39 (광명동.광문고등학교),www.kmoon.hs.kr,36,944,84
2015,고등학교,일반고,경기,경기,광명시,소하고등학교,본교,기존(원)교,공립,423-821,경기도 광명시 소하일로 21 . 소하고등학교 (소하동.소하고등학교),www.soha.hs.kr,46,"1,425",115
2015,고등학교,일반고,경기,경기,광명시,진성고등학교,본교,기존(원)교,사립,423-760,경기도 광명시 철망산로 84 (하안동.진성고등학교),www.jinsung.or.kr,30,933,64
2015,고등학교,일반고,경기,경기,광명시,광명고등학교,본교,기존(원)교,공립,423-834,경기도 광명시 오리로876번길 17 (철산동.광명고등학교),www.gmhs.hs.kr,41,"1,277",101
2015,고등학교,일반고,경기,경기,광명시,운산고등학교,본교,기존(원)교,공립,423-050,경기도 광명시 한내일로 17 (소하동.운산고교),http://www.woonsan.hs.kr,32,923,75
2015,고등학교,일반고,경기,경기,광명시,광명북고등학교,본교,기존(원)교,공립,423-830,경기도 광명시 시청로 127 (철산동),http://www.gmbh.kr/,48,"1,449",118
2015,고등학교,일반고,경기,경기,광명시,명문고등학교,본교,기존(원)교,공립,423-817,경기도 광명시 광명로812번길 16 (광명동.명문고등학교),www.mm.hs.kr,44,"1,357",111
2015,고등학교,일반고,경기,경기,광명시,광휘고등학교,본교,기존(원)교,공립,423-050,경기도 광명시 서원로 41 . 광휘고등학교,http://kwanghwi.hs.kr/,30,914,72
2015,고등학교,일반고,경기,경기,광주시,초월고등학교,본교,기존(원)교,공립,464-862,경기도 광주시 초월읍 무들로 3-25 (초월고등학교),http://www.chowol.hs.kr,26,741,57
2015,고등학교,일반고,경기,경기,광주시,광주고등학교,본교,기존(원)교,공립,464-901,경기 광주시 수하길19번길 43 (송정동.광주고등학교),www.gwangju-highschool.hs.kr,41,"1,429",96
2015,고등학교,일반고,경기,경기,광주시,광주중앙고등학교,본교,기존(원)교,공립,464-807,경기 광주시 역동로63번길 1 (역동.광주중앙고등학교),http://www.gjja.hs.kr,45,"1,473",103
2015,고등학교,일반고,경기,경기,광주시,광남고등학교,본교,기존(원)교,공립,464-070,경기도 광주시 회안대로 350-32 (장지동.광남고등학교),http://www.gwangnam-h.hs.kr,33,"1,135",73
2015,고등학교,일반고,경기,경기,광주시,곤지암고등학교,본교,기존(원)교,공립,464-872,경기도 광주시 곤지암읍 곤지암로 82 (곤지암읍.곤지암고등학교),www.gonjiam.hs.kr,32,869,70
2015,고등학교,일반고,경기,경기,광주시,경화여자고등학교,본교,기존(원)교,사립,464-901,경기도 광주시 수하길11번길 43 (송정동.경화여자고등학교),http://kyunghwa.hs.kr,36,"1,270",78
